Temp,press,alti,CO,CO2,date
23.11,999.52,118.24,-9.18,-9.94,2021-8-5 9:7:15
23.11,999.52,118.24,-7.42,-4.62,2021-8-5 9:7:15
23.11,999.52,118.24,-7.77,1688.48,2021-8-5 9:7:16
23.10,999.52,118.26,-7.07,2074.13,2021-8-5 9:7:17
23.10,999.52,118.26,-7.42,5014.20,2021-8-5 9:7:17
23.10,999.52,118.26,-7.77,3485.97,2021-8-5 9:7:18
23.10,999.52,118.26,-7.19,3033.20,2021-8-5 9:7:18
23.11,999.54,118.05,-3.67,2964.22,2021-8-5 9:7:19
23.11,999.54,118.05,-2.27,2996.71,2021-8-5 9:7:19
23.11,999.54,118.05,-2.03,3036.13,2021-8-5 9:7:20
23.11,999.54,118.05,-2.15,3069.69,2021-8-5 9:7:20
23.11,999.56,117.92,-2.38,3091.80,2021-8-5 9:7:21
23.11,999.56,117.92,-2.38,3113.37,2021-8-5 9:7:22
23.11,999.56,117.92,-2.03,3112.57,2021-8-5 9:7:22
23.11,999.55,117.99,-2.03,3143.47,2021-8-5 9:7:23
23.11,999.55,117.99,-1.91,3157.32,2021-8-5 9:7:23
23.11,999.55,117.99,-2.03,3172.23,2021-8-5 9:7:24
23.11,999.55,117.99,-1.91,3185.55,2021-8-5 9:7:24
23.12,999.55,118.00,-1.80,3194.34,2021-8-5 9:7:25
23.12,999.55,118.00,-1.91,3197.80,2021-8-5 9:7:25
23.12,999.55,118.00,-2.03,3198.60,2021-8-5 9:7:26
23.12,999.55,118.00,-1.91,3205.79,2021-8-5 9:7:27
23.12,999.54,118.11,-2.15,3206.59,2021-8-5 9:7:27
23.12,999.54,118.11,-2.15,3207.65,2021-8-5 9:7:28
23.12,999.54,118.11,-2.03,3210.58,2021-8-5 9:7:28
23.12,999.54,118.09,-2.15,3207.39,2021-8-5 9:7:29
23.12,999.54,118.09,-2.15,3206.32,2021-8-5 9:7:29
23.12,999.54,118.09,-1.91,3211.91,2021-8-5 9:7:30
23.12,999.54,118.09,-2.27,3212.71,2021-8-5 9:7:30
23.12,999.55,118.05,-2.15,3207.65,2021-8-5 9:7:31
23.12,999.55,118.05,-2.15,3215.11,2021-8-5 9:7:32
23.12,999.55,118.05,-2.27,3217.51,2021-8-5 9:7:32
23.12,999.51,118.33,-1.91,3223.90,2021-8-5 9:7:33
23.12,999.51,118.33,-2.15,3227.36,2021-8-5 9:7:33
23.12,999.51,118.33,-1.80,3217.51,2021-8-5 9:7:34
23.12,999.51,118.33,-1.91,3215.38,2021-8-5 9:7:34
23.13,999.53,118.18,-1.91,3198.33,2021-8-5 9:7:35
23.13,999.53,118.18,-1.56,3191.67,2021-8-5 9:7:35
23.13,999.53,118.18,-1.80,3184.48,2021-8-5 9:7:36
23.13,999.53,118.18,-1.80,3184.21,2021-8-5 9:7:37
23.13,999.53,118.22,-2.15,3179.42,2021-8-5 9:7:37
23.13,999.53,118.22,-1.45,3177.02,2021-8-5 9:7:38
23.13,999.53,118.22,-1.91,3169.57,2021-8-5 9:7:38
23.13,999.52,118.24,-2.03,3160.51,2021-8-5 9:7:39
23.13,999.52,118.24,-1.91,3152.79,2021-8-5 9:7:39
23.13,999.52,118.24,-1.80,3146.66,2021-8-5 9:7:40
23.13,999.52,118.24,-1.80,3145.06,2021-8-5 9:7:40
23.13,999.54,118.14,-2.15,3130.68,2021-8-5 9:7:41
23.13,999.54,118.14,-1.80,3122.96,2021-8-5 9:7:42
23.13,999.54,118.14,-2.27,3118.70,2021-8-5 9:7:42
23.13,999.54,118.14,-2.03,3111.24,2021-8-5 9:7:43
23.14,999.55,118.05,-1.45,3096.86,2021-8-5 9:7:43
23.14,999.55,118.05,-1.91,3096.59,2021-8-5 9:7:44
23.14,999.55,118.05,-1.56,3095.53,2021-8-5 9:7:44
23.15,999.58,117.77,-1.56,3080.34,2021-8-5 9:7:45
23.15,999.58,117.77,-1.80,3065.16,2021-8-5 9:7:45
23.15,999.58,117.77,-1.68,3052.38,2021-8-5 9:7:46
23.15,999.58,117.77,-1.56,3038.80,2021-8-5 9:7:47
23.15,999.56,117.90,-1.68,3024.68,2021-8-5 9:7:47
23.15,999.56,117.90,-2.03,3016.42,2021-8-5 9:7:48
23.15,999.56,117.90,-1.68,2994.05,2021-8-5 9:7:48
23.15,999.56,117.90,-1.80,2981.00,2021-8-5 9:7:49
23.16,999.55,118.03,-1.56,2968.48,2021-8-5 9:7:49
23.16,999.55,118.03,-1.80,2957.83,2021-8-5 9:7:50
23.16,999.55,118.03,-2.15,2946.64,2021-8-5 9:7:50
23.17,999.57,117.87,-1.68,2946.64,2021-8-5 9:7:51
23.17,999.57,117.87,-1.68,2947.44,2021-8-5 9:7:52
23.17,999.57,117.87,-1.45,2935.99,2021-8-5 9:7:52
23.17,999.57,117.87,-1.68,2928.53,2021-8-5 9:7:53
23.17,999.55,118.07,-1.33,2909.09,2021-8-5 9:7:53
23.17,999.55,118.07,-1.80,2891.51,2021-8-5 9:7:54
23.17,999.55,118.07,-1.68,2879.53,2021-8-5 9:7:54
23.17,999.55,118.07,-1.91,2860.35,2021-8-5 9:7:55
23.17,999.56,117.98,-2.03,2834.52,2021-8-5 9:7:55
23.17,999.56,117.98,-1.56,2820.40,2021-8-5 9:7:56
23.17,999.56,117.98,-1.33,2799.09,2021-8-5 9:7:57
23.19,999.55,118.06,-1.33,2773.79,2021-8-5 9:7:57
23.19,999.55,118.06,-1.91,2757.28,2021-8-5 9:7:58
23.19,999.55,118.06,-1.45,2756.75,2021-8-5 9:7:58
23.19,999.55,118.06,-1.45,2745.03,2021-8-5 9:7:59
